Date,Open,High,Low,Close,Volume,sentiment
2024-10-22,571.5339961936412,580.7297050326658,569.3744268963089,579.2169799804688,8544500,0.0
2024-10-23,577.1867042398765,582.192594507908,559.8005716422192,560.98486328125,14248400,0.0
2024-10-24,564.4083318879617,566.1499335882773,558.8252690153747,565.0552368164062,7184700,0.0
2024-10-25,571.1757528879629,578.5004183141831,568.9763366172681,570.4990234375,11337900,0.0
2024-10-28,579.2070359341649,580.948637846338,571.3648464645419,575.3854370117188,10925100,0.0
2024-10-29,577.3659274017436,590.8210046180449,572.6387223000493,590.4329223632812,13019100,0.0
2024-10-30,598.0959611405502,598.3149369771265,586.5516522238592,588.9600219726562,26864900,0.0
2024-10-31,582.1925856019707,587.0690948039123,560.3081253081026,564.856201171875,26838400,0.0
2024-11-01,564.8860850679225,570.917001339198,559.8603316322354,564.438232421875,15303200,0.0015530000000000266
2024-11-04,561.3929508469568,565.9609509043612,555.2127905097288,557.9893798828125,12064600,0.484979
2024-11-05,564.577596671882,570.7279324508698,563.9506150919713,569.6829833984375,9775400,0.0
2024-11-06,560.0493308752114,570.25014054464,552.5056907167225,569.3046875,18305400,-0.41318925
2024-11-07,574.1215485070126,591.9455725919563,572.4496180315167,588.8604736328125,14653700,-0.03404750000000001
2024-11-08,588.7011733753752,590.2536844943522,581.7149037111028,586.5117797851562,9415700,-0.3420735
2024-11-11,583.5461541812385,584.1830975198795,573.7434467735926,580.3714599609375,10209100,0.0
2024-11-12,585.7156075410013,596.78223842264,577.5947936518803,582.0134887695312,16287700,0.990844
2024-11-13,579.8140126435408,582.8295006873793,572.4097151236031,577.216552734375,10757600,0.0
2024-11-14,574.2310533344881,577.9730193106801,570.2602105353902,574.3902587890625,11053700,0.0
2024-11-15,568.47872051752,569.8222783942981,548.8533847643662,551.4210205078125,17712900,0.0
2024-11-18,554.3668479607893,557.213169522918,547.4502482971927,551.7395629882812,14327300,0.0
2024-11-19,549.2117126735113,558.7357953255338,547.9577494586872,558.3974609375,9522400,0.0
2024-11-20,560.2284939812367,563.6320644076252,551.5404086524625,562.8060913085938,9797300,0.0
2024-11-21,566.7868914718125,567.2645685130409,546.4150954692434,560.3877563476562,11154700,0.0
2024-11-22,560.8455359497274,561.1242213982047,551.9285734744715,556.4567260742188,9164000,0.0
2024-11-25,559.4025063006017,569.842216719163,553.7199469729902,562.3980712890625,13599800,0.0
2024-11-26,563.2838034841143,574.7286157457173,562.4876547795837,570.78759765625,10356600,0.0
2024-11-27,572.1312028238776,572.220736911576,561.3929435568074,566.468505859375,7200200,0.0
2024-11-29,566.2694266604135,575.6840509462676,564.179528644509,571.5639038085938,7130500,0.0
2024-12-02,574.7285975175146,591.6470151067747,572.8078668096863,589.9850463867188,12522400,0.0
2024-12-03,592.144674748723,611.2525486705784,588.412670496105,610.7052001953125,14907200,0.25078700000000004
2024-12-04,610.0184005822902,614.8152764849832,602.1960748947224,610.83447265625,14697000,-0.40239
2024-12-05,614.1186640967649,616.9251382698544,604.136768682784,606.0077514648438,8081200,0.0
2024-12-06,607.1721088209316,626.7676190380172,605.6096966963446,620.7765502929688,16935500,0.3686764
2024-12-09,620.9258564568023,623.3939965020669,603.2610368421125,610.6255493164062,11426000,0.0
2024-12-10,614.5963368840676,622.5878301971734,609.7994606988705,616.347900390625,10938900,0.0
2024-12-11,620.37847939692,635.3363804725623,618.547343463704,629.643798828125,10837200,0.5833889999999999
2024-12-12,628.4694319605399,633.6046423977135,624.2000415346207,627.7628173828125,7474700,0.2445798888888889
2024-12-13,624.2099509122261,628.0514729907906,613.9295681709151,617.3729248046875,8453300,0.0
2024-12-16,627.4625362287662,628.6279045963112,616.1081279040426,621.7454833984375,10885600,0.0
2024-12-17,623.6676857660912,629.842921517428,614.0761642573996,616.964599609375,12897800,0.0
2024-12-18,618.5183765194273,624.8529462687603,593.9370093659079,594.8035278320312,17075500,0.0
2024-12-19,607.9507863504745,609.0762755305054,592.6222729689903,593.1900024414062,14958100,0.0
2024-12-20,588.2199724400746,600.699869104885,577.6822346553289,582.9112548828125,48989400,0.0
2024-12-23,587.2438414694396,598.6879766892466,583.907252912156,597.452880859375,10205800,0.0
2024-12-24,600.311421467438,605.5603812991077,596.8852265249648,605.3213500976562,4726100,0.0
2024-12-26,603.0603968908488,603.8771273499036,596.5465535400348,600.9389038085938,6081400,0.0
2024-12-27,597.0146600682612,599.4449119716119,587.4430773536361,597.4130859375,8084200,0.0
2024-12-30,586.3972186440706,594.5544919388965,583.239903719799,588.8772583007812,7025900,0.0
2024-12-31,589.9031610994577,591.5963188432811,581.5167657457517,583.170166015625,6019500,0.0
2025-01-02,587.3633007502451,602.4926001052438,585.4709301048888,596.8452758789062,12682300,0.5100505
2025-01-03,602.3432915147383,607.0643399858958,594.0266229827574,602.2138061523438,11436800,0.94535
2025-01-06,609.385054699766,628.4684617844035,603.1998488847688,627.681640625,14560800,0.0
2025-01-07,629.1757106264704,629.5740757337761,605.7994661876476,615.4208984375,12071500,0.0
2025-01-08,610.9487626580363,613.976592361968,600.3811160103171,608.2794189453125,10085800,0.0
2025-01-10,607.5922670173171,627.3927679278979,594.9529755373284,613.39892578125,19256600,0.0
2025-01-13,604.6739217603003,606.5364441234269,596.0585248079975,605.8990478515625,10785000,0.0
2025-01-14,602.6520744429687,603.0703790506547,586.198070906463,591.8753051757812,13598000,0.0
2025-01-15,607.7715100133968,619.972556750708,604.0763139738187,614.6538696289062,15524300,0.0
2025-01-16,609.056268564278,613.7872861859956,607.2734438085199,608.8570556640625,8355300,0.0
2025-01-17,621.5562428618572,622.4725494595965,601.2576778233948,610.3213500976562,17280600,0.0
2025-01-21,615.3611025019545,619.0164197693068,606.5763408669152,613.99658203125,11674000,0.0
2025-01-22,620.8091489005574,631.1676126122295,616.954619104307,621.0083618164062,12274000,0.0
2025-01-23,624.8529151272735,634.0559803027825,618.6677705767347,633.9066162109375,9910200,0.0
2025-01-24,633.8568781379164,649.3945139716581,631.6656574969397,644.9025268554688,19065300,0.0
2025-01-27,624.1059156551349,661.2170263231972,622.601940216737,657.2429809570312,28399200,0.0
2025-01-28,663.3385252994983,679.8522851881131,656.8345913596311,671.63525390625,20950100,0.0
2025-01-29,672.3025851139503,678.3283961259809,663.0098523603809,673.78662109375,21377800,0.0
2025-01-30,694.0352798688946,707.9494218636613,673.398052356454,684.2545166015625,29322900,0.0
2025-01-31,688.2386375622425,702.4814799874082,682.8403138955325,686.4259033203125,19303900,0.983835
2025-02-03,673.2089204422564,701.1866947109021,672.5515846641146,694.6728515625,21415700,0.911128
2025-02-04,699.6926057918002,704.8818070021638,688.8461108074927,701.3758544921875,13826300,0.0
2025-02-05,700.7384902909668,715.270213081664,696.2166547369433,702.05322265625,17778200,0.0
2025-02-06,703.0591459116995,716.0271344480996,700.6886520762018,709.1447143554688,13080700,0.0
2025-02-07,713.9355299622597,722.1127432544886,708.9057228017197,711.6646728515625,16427100,0.0
2025-02-10,715.688479736199,718.317944327383,708.4873917995161,714.5331420898438,12904300,0.0
2025-02-11,710.4694377796111,720.7680830266086,707.2025161364162,716.9235229492188,12998000,0.0
2025-02-12,712.4415265910553,724.1943596127884,709.7523040950127,722.4812622070312,12016500,0.0
2025-02-13,718.6367748250889,726.086864766196,715.170639811608,725.6486206054688,12569100,0.0
